Study/Framework,FL Approach,Model/Algorithm,Dataset,Accuracy,Privacy Technique,Key Features,Advantages/Findings,Year,Reference
TabNet with Blockchain FL,Horizontal Federated Learning with FedAvg,TabNet (Deep Neural Network),"Comprehensive Heart Disease Dataset (1190 instances, 11 features) + UCI Heart Disease Data (14 attributes)","97.76% (UCI), 98.43% (Cleveland), 99.12% (aggregated) ; Best: 82.2% at 50 epochs with ε=6.855","Differential Privacy (noise added to gradients, privacy budget ε) , Blockchain technology , Smart Contracts (ERC-20) , Homomorphic encryption","Attention-based feature selection , tree-based + DNN hybrid , 5 hidden layers , Adam optimizer , BCE loss function , data expansion techniques",Balances privacy and accuracy ; transparent audit trail via blockchain ; achieves Balanced Metrics score of 1.594 at optimal settings ; enables continuous model updates without retraining,2024,https://www.mdpi.com/1999-5903/16/10/372
cardioNet+ Multimodal FL,Federated Learning with FedAvg and FedProx,"SGD-DNN (5 hidden layers: 512, 256, 128, 64, 32 neurons) + DRL for nutrition","ECG Heartbeat Categorization , Sunnybrook Cardiac MRI , Heart Disease Patient Records , UCI Heart Disease Data (nutrition)","97.76% (ECG) , 98.43% (MRI) , 99.12% (patient records) , 99.50% (multimodal fusion) , 98.77% (external validation)","Differential Privacy , Secure parameter sharing , Federated Averaging","Multimodal data fusion (cardiac images, ECG, patient records, nutrition) , attention-based feature fusion , batch normalization , dropout (0.3) , Deep Q-Network for personalized nutrition",Highest accuracy with multimodal fusion ; enables early detection and personalized lifestyle recommendations ; outperforms centralized models (99.12% vs 94.87%),2024,https://pmc.ncbi.nlm.nih.gov/articles/PMC12055547/
Privacy-Preserving FL with GNN,Federated Learning with secure aggregation,Graph Neural Networks (GNN),Heart disease datasets (distributed across 3 clients ),"96.79% (internal) , 98.77% (external validation)","Secure weight aggregation , data locality preservation , privacy-preserving architecture","Graph-structured representations from patient data , captures complex feature relations , only weights transmitted (not raw data)","Outperforms GAT, 1D-CNN, and ML baselines ; robust, scalable, and generalizable ; maintains patient privacy with decentralized data",2025,https://www.sciencedirect.com/science/article/pii/S2590005625001274
Centralized vs Federated Benchmark,"FedAvg, FedAdam, FedYogi, SCAFFOLD (4 clients/hospitals)","SVM (linear kernel) , Neural Networks , Logistic Regression","UCI Heart Disease Dataset (920 records from USA, Hungary, Switzerland; reduced to 740 after preprocessing)","Centralized SVM: 83.3% (best), LR: 78.7% ; Federated SVM (FedYogi): 73.8% (best)","Data partitioning across hospitals , local model training with only updates shared","Natural partition across 4 hospitals (Cleveland, Long Beach VA, Hungary, Switzerland); SHAP interpretability analysis ; 14 key features used","Federated SVM uncommon in literature ; interpretability reveals ST depression, chest pain type, and exercise-induced angina as key predictors ; privacy-preserving with reasonable accuracy trade-off",2024,https://arxiv.org/html/2408.06183v2
AFLCP (Asynchronous FL for Cardiac Prediction),Asynchronous Federated Learning with temporally weighted aggregation,"Deep Neural Networks with R-SVM classifier , asynchronous deep/shallow layer updates","DS1 and DS2 (from UCI and Switzerland; 303 records, 76 characteristics, 14 key features used)",DS1: 89.1% (6 nodes) ; DS2: 89.9% (10 nodes) - outperforms synchronous FL,"Privacy-aware approach , local data deletion after use , asynchronous parameter updates",Deep layers update less frequently than shallow layers ; temporally weighted aggregation ; TensorFlow Federated framework ; 5 clients with ~40 records each,Better convergence for higher number of nodes ; reduced communication cost ; improved accuracy vs synchronous FL ; efficient network bandwidth usage ; flexible distributed learning,2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10377760/
FedEHR,Distributed federated learning architecture,Federated learning models for EHR prediction,Electronic Health Records (EHR) data,Approximately 89% on UCI benchmark,"Security-aware architecture , decentralized data storage","EHR-based prediction , collaborative training across institutions",Demonstrates FL as a reliable approach for heart disease prediction while maintaining data security and privacy,2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10605926/
FedCVD,Federated Learning with collaborative training,Logistic Regression and SVM,10-year risk of coronary heart disease Kaggle dataset,"Federated LR with SMOTE: AUC 0.7048 , Centralized LR: AUC 0.7081 ; Federated SVM: AUC 0.7340 , Centralized SVM: AUC 0.6962","Privacy-preserving collaborative training, decentralized patient data","Addresses data imbalance with Random Over Sampling , Random Under Sampling , and SMOTE techniques; scalable architecture",Federated SVM surpasses centralized ML models; maintains patient confidentiality while enabling collaborative CVD prediction; competitive performance with centralized approaches,2024,https://dl.acm.org/doi/10.1145/3647750.3647752
Privacy-Preserving Diabetes & Heart Disease FL,Federated Learning with Weighted Conglomeration Optimization (FLWCO),FLWCO model with optimized weighted aggregation,Diabetes and heart disease datasets,Superior performance compared to standard FL approaches,"Federated learning framework preserving patient privacy, distributed data processing","Addresses privacy concerns in personalized ML, with weighted conglomeration optimization for improved model aggregation",Enables personalized ML while overcoming privacy concerns; leverages distributed data to achieve accurate disease prediction,2025,https://link.springer.com/article/10.1007/s44196-025-00956-8
Fed-CL for Atrial Fibrillation,Federated Continual Learning,Deep Learning with ECG signals,ECG signals and vital signs for atrial fibrillation,Promising results for AF prediction,Federated learning preserving ECG data privacy,"Continual learning approach, ECG signal processing , and vital signs integration",Shows great promise in predicting atrial fibrillation using ECG signals while maintaining data privacy; enables continuous model improvement,2024,https://www.nature.com/articles/s41598-024-71366-7
PFedAL-ECG,Personalized Federated Active Learning,Lightweight arrhythmia detection algorithm,ECG datasets for arrhythmia detection,High accuracy with a lightweight architecture,Personalized federated learning with active learning,"Lightweight design for resource-constrained devices, active learning for efficient data utilization, personalized models per client",Tackles heterogeneous ECG data across clients; enables efficient arrhythmia detection with reduced computational requirements; personalized approach improves individual patient predictions,2025,https://www.sciencedirect.com/science/article/pii/S1566253525009224